channel_id,all_comment_count,eng_comment_count
UC-0unh5x9WSd6aj0OGxrgaA,64,0
UC-3sBKh8YYbG2KyVHnSyA1A,21,15
UC-9b7aDP6ZN0coj9-xFnrtw,15,14
UC-AlofdKECUdhXrbJQZ6iEg,89,45
UC-B0ARaD-Y0p95aAqbbawQQ,25,19
UC-CBQChrXvLzYc9oxpMfFPg,35,7
UC-CSyyi47VX1lD9zyeABW3w,29,18
UC-D4LfKD1LYd_GoqwL7dd6Q,23,17
UC-EnprmCZ3OXyAoG7vjVNCA,31,25
UC-FUM0zTj88J7bKIT6PidmA,13,10
UC-KTRBl9_6AX10-Y7IKwKdw,18,14
UC-OkQ5JhnX5wCAgYJRxi6bw,11,10
UC-QTh5HFiw28MwFrmFrRjzA,86,73
UC-SkUab6CMjeSzlO6JN5yng,18,9
UC-UGUUaSrcXxNftujxaErdg,38,29
UC-V0JMkSlpUyQ1DxWn_Pi4g,24,7
UC-VNOmCXKmsss7zpvS3RbOQ,18,15
UC-WMwOzgFdvvGVLB1EZ-n-w,31,26
UC-he8--TRguZ-nNUSiH77Uw,30,20
UC-iEDvQSU9q6G5MR4Prp_Tw,20,12
UC-iLj0O7941O6BXMcaZsA_w,33,28
UC-kIIbllnhNe7rlqNYMtVoA,29,11
UC-nPM1_kSZf91ZGkcgy_95Q,26,21
UC-p_YEaF3-cLUAmYuUOpgqA,3,3
UC-ptWR16ITQyYOglXyQmpzw,7,7
UC-tLyAaPbRZiYrOJxAGB7dQ,25,20
UC-uNVV92llYIMC5-ZUF0Q4w,32,26
UC-z5oN_BPJs4Bi9sCH75rqw,3,0
UC00ifCvU8YOOzbL3RdiSTDw,25,15
UC00v5l55jh7OQqcHXrCHQDw,27,9
UC02rAIf5RYrww6AWhoI5S0w,62,52
UC05DLAXA9jl1bxaoopjs83w,30,21
UC07-dOwgza1IguKA86jqxNA,14,11
UC0A86RKLCqTEUna3hPlEpzg,35,12
UC0BGhWsIbV7Dm-lsvhdlMbA,27,16
UC0BletW9phE4xHFM44q4qKA,23,13
UC0Cyf-sOPE0AGY41I6andkQ,20,18
UC0DsQklZE7kyWTx98QPapwA,24,23
UC0GbKJaeEN9k5CG1NLbN6Ow,22,18
UC0GmLw5MOFYkcyYJlqaH2bg,32,11
UC0MPfq68TQjStJt5-xklLeA,26,17
UC0NM4tKT5s9szqnK3jp6dEw,6,4
UC0NfgQvgO8X7llW1GOhQKWw,83,62
UC0POxtMZgb3VLI4gd03bDYQ,7,3
UC0PRIrhVeQ7MvPn8r_Zr4kQ,73,52
UC0QHWhjbe5fGJEPz3sVb6nw,127,121
UC0Rp4wkphkKwnL2qJB8XnKw,23,17
UC0StMWrlJkpiXE2PrytcoHw,24,22
UC0Um8gFJciY_3gtlVD0-d1w,28,11
UC0VOyT2OCBKdQhF3BAbZ-1g,25,13
UC0WP5P-ufpRfjbNrmOWwLBQ,53,32
UC0YbFiLN8fcvtWC5Jtt1Vzw,35,27
UC0YdQLeS-QMU68nvIIWOFCA,30,22
UC0aSHiQNMy8IMmS7_8WbtdA,28,23
UC0cd_-e49hZpWLH3UIwoWRA,24,17
UC0dx1Fa4nt3FRWWG5IcdOEQ,28,27
UC0iiLOT3Jnefq_5Ohk2fJhg,82,43
UC0k238zFx-Z8xFH0sxCrPJg,22,15
UC0kejkXg2LG-pFqAeWD_zLQ,32,11
UC0n5zrwFJhFmUtjf21k08cg,21,19
UC0p5jTq6Xx_DosDFxVXnWaQ,77,71
UC0xAWNc3HiioXYmbpEx1pIA,57,53
UC10qbUzr5SqQPMKxNxpGv1Q,13,12
UC12zxxedZWx_-E1wrhBHy_A,141,87
UC14PsVSS3tpfEaTa-t9Vsrw,39,27
UC14UlmYlSNiQCBe9Eookf_A,30,13
UC16niRr50-MSBwiO3YDb3RA,545,471
UC176GAQozKKjhz62H8u9vQQ,120,107
UC18fv3yDege-nPN5zO48eHg,39,21
UC1Ax24VdEPbE5p5__EfAX-A,32,27
UC1Bbtdbpfert8leeKx2mssw,32,25
UC1Cp5caGwHvJZxHoevGoDdA,32,15
UC1D26ByrbZVwuMgjVWmsOuw,32,20
UC1D3yD4wlPMico0dss264XA,27,22
UC1IQIspOkCeV3WnYm32SBFQ,23,22
UC1Mh6LN5m80lvSdcXi0OM1Q,27,16
UC1NlvNg7p6m1kFuudR2UZ0w,30,20
UC1PutYRxIS9eHuX9ymNI51A,30,18
UC1RMpjsUQcBuel6-GIeV9Cw,96,37
UC1S3EiYLDrrVc3Ev9rdUE6A,27,19
UC1T-ZwcYVQB6EpqOQD10tmw,22,0
UC1Yf7IBfhSNFTIyb7v83o_g,24,18
UC1_wTS4HNPMqpLe3m7h79ag,26,16
